trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.1, 'e': 0.13532607744362551}",20,9,18.131428260680725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.132619555894753}",25,17,15.071885184218065,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.12996716477685794}",25,0,-12.740507206823173,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.12736782148132078}",20,4,-10.258534887992086,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.12482046505169436}",20,3,9.393215289699395,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.12232405575066048}",20,10,21.524561031723916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.11987757463564727}",30,18,20.70953055090679,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.11748002314293432}",25,15,10.112017798584198,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.11513042268007563}",20,5,21.126151714813314,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.11282781422647412}",25,8,-9.648878552518664,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.11057125794194463}",25,11,25.444893731743573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.10835983278310574}",20,6,13.154195064488993,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.10619263612744362}",20,11,-25.555626619364652,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.1, 'e': 0.10406878340489474}",20,9,9.077728207994166,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.10198740773679685}",25,10,-24.800531198716428,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.1, 'e': 0.09994765958206091}",35,15,34.75382553568077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.0979487063904197}",20,9,16.865124667832294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.0959897322626113}",25,12,2.1741975612960385,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.09406993761735907}",30,1,35.78962054882089,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.0921885388650119}",30,0,26.75113829492214,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.09034476808771166}",25,11,22.612017185745227,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.08853787272595742}",25,15,19.771678489577493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.08676711527143827}",25,13,18.53863024736559,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.0850317729660095}",30,17,22.72653768968395,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.08333113750668932}",25,8,29.488747722749306,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.08166451475655553}",25,13,19.481620419487612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.08003122446142442}",25,17,-25.215168160806556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.1, 'e': 0.07843059997219594}",25,1,26.576863079200606,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.07686198797275202}",20,2,35.091432473360776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.07532474821329699}",20,6,19.797971206571784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.07381825324903105}",20,15,3.650327409826545,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.07234188818405042}",25,17,5.95451209255681,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.07089505042036941}",30,5,24.951898927838506,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.06947714941196202}",25,2,35.982620037457046,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.06808760642372277}",25,14,21.151254147393146,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.06672585429524831}",20,0,27.83392467644239,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.1, 'e': 0.06539133720934334}",20,10,14.698823866369956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.06408351046515648}",20,10,14.296737817543402,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.06280184025585335}",25,15,-19.99746368565644,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.1, 'e': 0.061545803450736285}",20,11,17.412749517248496,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.060314887381721555}",20,2,30.12743466943964,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.05910858963408712}",20,11,16.938270527002526,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.05792641784140538}",20,0,30.586134437333648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.05676788948457727}",25,0,-6.744911553475578,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.055632531694885724}",25,15,18.895417676358548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.054519881060988006}",25,16,12.001713600543784,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.05342948343976824}",25,6,18.531974973732886,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.052360893770972874}",30,17,14.427657525797077,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.05131367589555342}",20,0,28.328573187910894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.05028740237764235}",20,9,20.387344185992568,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.0492816543300895}",20,0,21.75587783753196,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.1, 'e': 0.04829602124348771}",20,10,18.36411163513186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.04733010081861796}",25,7,27.890179768290473,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.0463834988022456}",25,11,24.151384264230884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.04545582882620069}",25,10,26.067845724473845,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.04454671224967667}",20,0,23.3707342220646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.1, 'e': 0.043655778004683135}",20,12,-23.073518612961543,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.04278266244458947}",25,8,32.41069362416884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.04192700919569768}",20,0,18.88075087960718,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.04108846901178373}",35,15,-8.616153168059261,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.1, 'e': 0.04026669963154805}",20,14,8.025395573911084,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.03946136563891709}",20,6,22.975926307349425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.03867213832613875}",20,2,18.53257413393244,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.037898695559615975}",25,4,30.521462334873043,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.03714072164842366}",20,13,15.213721178584457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.03639790721545518}",30,18,20.34317429046699,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.035669949071146075}",20,2,22.332234019599483,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.034956550089723155}",20,0,27.590931456213028,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.03425741908792869}",30,18,19.569361993127668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.03357227070617012}",25,16,14.152703724011545,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.032900825292046715}",25,13,18.609576359851786,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.03224280878620578}",20,0,11.865823014789122,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.1, 'e': 0.031597952610481664}",30,19,19.050209772598887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.03096599355827203}",25,17,13.437209152877891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.030346673687106588}",20,0,27.56254017641938,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.1, 'e': 0.029739740213364455}",20,4,24.042971252691128,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.029144945409097164}",35,17,20.80670421795162,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.02856204650091522}",25,12,21.416265532684985,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.027990805570896914}",25,8,23.491585933300772,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.027430989459478975}",25,13,25.54871134254909,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.026882369670289397}",20,0,29.143068990359332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
