date,chg_ted,chg_usd,chg_ffr,chg_cpi,target
10/1/2013,-0.05,-0.3032,0.01,0.309,1
11/1/2013,-0.02,-0.9563,-0.01,0.086,1
12/1/2013,0.01,0.9827,0.01,0.403,1
1/1/2014,0.02,0.164,-0.02,0.602,0
2/1/2014,-0.02,0.886,0,0.662,1
3/1/2014,0,-0.1456,0.01,0.287,1
4/1/2014,0.02,-0.3438,0.01,0.306,1
5/1/2014,-0.01,-0.2446,0,0.493,1
6/1/2014,0,-0.127,0.01,0.361,1
7/1/2014,0.02,0.2256,-0.01,0.197,0
8/1/2014,-0.01,-0.1194,0,0.395,1
9/1/2014,0.01,1.2224,0,-0.168,0
10/1/2014,0,2.0366,0,0.23,1
11/1/2014,0,1.2391,0,0.02,1
12/1/2014,0.01,1.8882,0.03,-0.388,0
1/1/2015,0.01,1.3784,-0.01,-0.828,0
2/1/2015,0.01,3.3618,0,-1.377,1
3/1/2015,0,1.6362,0,0.576,0
4/1/2015,0.01,2.6271,0.01,0.5,1
5/1/2015,0.01,-0.8274,0,0.212,1
6/1/2015,0.01,-1.7806,0.01,0.69,0
7/1/2015,-0.01,0.4939,0,0.528,1
8/1/2015,-0.01,1.9508,0.01,0.457,0
9/1/2015,0.06,0.1681,0,-0.065,0
10/1/2015,0,-0.2007,-0.02,-0.344,1
11/1/2015,-0.07,-0.4553,0,0.325,1
12/1/2015,0.07,2.7082,0.12,0.361,0
1/1/2016,0.05,0.1505,0.1,-0.307,0
2/1/2016,-0.05,1.1015,0.04,0.26,0
3/1/2016,0.03,-2.0708,-0.02,-0.298,1
4/1/2016,0.06,-1.5841,0.01,0.27,1
5/1/2016,-0.04,-2.0896,0,0.83,1
6/1/2016,0.02,0.3546,0.01,0.454,1
7/1/2016,0.02,-0.1639,0.01,0.48,1
8/1/2016,0.12,1.3669,0.01,0.056,0
9/1/2016,0.04,-1.0685,0,0.491,0
10/1/2016,-0.01,0.2536,0,0.617,0
11/1/2016,-0.09,1.8121,0.01,0.688,1
12/1/2016,0.01,1.7594,0.13,0.505,1
1/1/2017,0.04,1.7978,0.11,0.622,1
2/1/2017,0.01,-0.8382,0.01,1.337,1
3/1/2017,-0.12,-0.6312,0.13,0.298,0
4/1/2017,-0.04,0.5141,0.11,-0.704,1
5/1/2017,-0.07,-0.4949,0.01,0.406,1
6/1/2017,-0.01,-0.7941,0.13,-0.312,1
7/1/2017,-0.04,-1.4393,0.11,-0.056,1
8/1/2017,0.06,-2.195,0.01,0.258,0
9/1/2017,-0.01,-1.3563,-0.01,0.982,1
10/1/2017,0,-1.0767,0,1.343,1
11/1/2017,-0.09,1.6063,0.01,0.266,1
12/1/2017,0.09,0.4705,0.14,0.953,1
